,City,Country,Date,Latitude,Longitude,Max Temp,Cloudiness,Humidity,Wind Speed
0,Sao Filipe,CV,1571857238,14.9,-24.5,75.22,11,78,17.9
1,Albany,US,1571857238,42.65,-73.75,64.0,75,42,13.87
2,Tiksi,RU,1571857239,71.64,128.87,1.4,1,88,6.24
3,Ushuaia,AR,1571857240,-54.81,-68.31,59.0,75,38,20.8
4,Serafimovich,RU,1571857241,49.58,42.73,53.01,94,90,1.99
5,Hobart,AU,1571857204,-42.88,147.33,51.01,75,93,8.05
6,Bluff,AU,1571857242,-23.58,149.07,61.84,0,82,9.31
7,Flinders,AU,1571857242,-34.58,150.85,64.0,0,100,2.24
8,Yulara,AU,1571857243,-25.24,130.99,64.4,34,17,3.36
9,Kodiak,US,1571857243,39.95,-94.76,66.2,1,39,19.46
10,Merauke,ID,1571857244,-8.49,140.4,76.82,56,80,8.23
11,Pervomaysk,RU,1571857244,54.87,43.81,49.68,100,79,7.05
12,Punta Arenas,CL,1571857245,-53.16,-70.91,60.8,75,44,16.11
13,Chuy,UY,1571857245,-33.69,-53.46,67.23,9,62,12.84
14,Katsuura,JP,1571857246,33.93,134.5,66.2,75,88,5.82
15,Rikitea,PF,1571857247,-23.12,-134.97,70.57,100,90,22.77
16,Nikel,NO,1571857247,69.41,30.21,30.2,75,92,10.29
17,Taltal,CL,1571857248,-25.41,-70.49,61.38,0,65,6.64
18,Anadyr,RU,1571857248,64.73,177.51,12.2,40,85,8.95
19,Labuhan,ID,1571857249,-2.54,115.51,69.76,79,69,1.79
20,Yellowknife,CA,1571857250,62.45,-114.38,28.99,90,92,3.36
21,Narsaq,GL,1571857250,60.91,-46.05,35.6,40,74,4.7
22,Butaritari,KI,1571857251,3.07,172.79,82.96,16,71,4.81
23,Si Satchanalai,TH,1571857252,17.52,99.76,87.01,81,61,2.57
24,Puerto Ayora,EC,1571857252,-0.74,-90.35,78.8,40,57,20.8
25,Mecca,SA,1571857202,21.43,39.83,83.07,0,55,5.99
26,Niquelandia,BR,1571857254,-14.47,-48.46,78.19,93,72,4.14
27,Nagas,PH,1571857254,13.11,123.29,77.07,0,88,5.59
28,Abu Zabad,SD,1571857255,12.35,29.25,82.04,34,57,5.37
29,Faanui,PF,1571857256,-16.48,-151.75,79.74,49,69,8.19
30,Karakol,KG,1571857257,42.49,78.39,34.03,0,37,7.34
31,Atuona,PF,1571857258,-9.8,-139.03,79.21,2,68,6.51
32,Mandalgovi,MN,1571857259,45.76,106.27,21.09,100,51,7.81
33,Tuktoyaktuk,CA,1571857259,69.44,-133.03,17.6,90,85,3.36
34,Hazaribag,IN,1571857260,23.98,85.35,69.01,100,65,4.0
35,Quelimane,MZ,1571857261,-17.88,36.89,80.6,31,83,17.22
36,Mataram,ID,1571857262,-5.32,105.06,71.02,100,98,2.59
37,Jackville,CI,1571857263,5.21,-4.42,80.6,40,88,12.75
38,Nelson Bay,AU,1571857264,-32.72,152.14,64.0,42,93,1.54
39,Kahului,US,1571857264,20.89,-156.47,80.6,20,57,17.69
40,Necochea,AR,1571857265,-38.55,-58.74,54.0,100,79,17.0
41,East London,ZA,1571857266,-33.02,27.91,62.6,80,63,12.75
42,Codrington,AU,1571857266,-28.95,153.24,55.99,0,93,8.05
43,Lianran,CN,1571857267,24.92,102.47,59.0,40,93,4.47
44,Ilulissat,GL,1571857268,69.22,-51.1,24.8,40,38,3.36
45,Okhotsk,RU,1571857269,59.36,143.24,24.01,86,62,10.0
46,Grindavik,IS,1571857270,63.84,-22.43,28.4,75,58,26.4
47,Barrow,AR,1571857270,-38.31,-60.23,54.39,97,71,19.55
48,Jamestown,AU,1571857083,-33.21,138.6,64.15,0,17,7.94
49,Dukat,AL,1571857271,40.25,19.57,71.01,0,43,1.01
50,Santa Maria,BR,1571857272,-16.02,-48.01,75.2,75,69,9.17
51,Sisimiut,GL,1571857304,66.94,-53.67,25.14,90,57,10.71
52,Mardin,TR,1571857304,37.32,40.72,68.0,40,42,9.17
53,Georgetown,GY,1571857305,6.8,-58.16,86.0,75,79,9.17
54,Avarua,CK,1571857261,-21.21,-159.78,75.2,64,83,6.93
55,Kupang,ID,1571857306,-10.16,123.6,77.05,0,72,6.15
56,Ambatofinandrahana,MG,1571857307,-20.55,46.8,65.34,30,86,6.35
57,Belyy Yar,RU,1571857307,53.6,91.39,32.0,100,91,8.95
58,Tura,RU,1571857308,64.27,100.22,7.56,29,95,4.72
59,Lagoa,PT,1571857308,37.14,-8.45,64.4,20,52,17.22
60,New Norfolk,AU,1571857309,-42.78,147.06,50.0,58,93,8.05
61,Scarborough,GB,1571857309,54.28,-0.41,51.8,0,81,3.36
62,Hasaki,JP,1571857310,35.73,140.83,63.0,75,93,5.82
63,Mangrol,IN,1571857310,25.33,76.51,71.31,1,51,7.02
64,Eureka,US,1571857197,40.8,-124.16,61.0,20,100,3.36
65,Vaini,IN,1571857312,15.34,74.49,69.35,100,99,3.83
66,Carnarvon,ZA,1571857313,-30.97,22.13,62.91,100,17,12.39
67,General Roca,AR,1571857313,-39.03,-67.58,75.2,0,15,2.24
68,Porgera,PG,1571857314,-5.46,143.15,50.7,63,97,1.81
69,Lompoc,US,1571857314,34.64,-120.46,87.01,1,19,9.62
70,Chinautla,GT,1571857315,14.69,-90.49,75.15,94,69,1.63
71,Muros,ES,1571857315,42.77,-9.06,59.0,75,93,1.12
72,San Patricio,PY,1571857316,-26.98,-56.83,80.31,0,41,6.53
73,Cape Town,ZA,1571857204,-33.93,18.42,61.0,20,87,11.41
74,Ghanzi,BW,1571857317,-21.7,21.65,80.28,12,10,8.05
75,Karratha,AU,1571857318,-20.74,116.85,82.26,0,40,15.73
76,Port Hardy,CA,1571857206,50.7,-127.42,46.4,90,93,6.93
77,Tricase,IT,1571857320,39.93,18.36,68.0,0,82,5.82
78,Megion,RU,1571857321,61.04,76.11,32.0,75,86,13.42
79,Victoria,BN,1571857321,5.28,115.24,77.0,75,88,8.55
80,Standerton,ZA,1571857322,-26.94,29.24,71.01,59,56,3.0
81,Kazachinskoye,RU,1571857322,57.69,93.28,29.35,99,95,8.66
82,Karatsu,JP,1571857323,33.45,129.97,68.0,90,88,3.36
83,Leningradskiy,RU,1571857324,69.38,178.42,21.38,99,80,11.9
84,Port Alfred,ZA,1571857324,-33.59,26.89,62.01,67,80,5.01
85,Strezhevoy,RU,1571857325,60.73,77.6,32.0,75,90,13.42
86,Bethel,US,1571857326,60.79,-161.76,33.8,90,81,20.8
87,Bjelovar,HR,1571857326,45.9,16.84,57.2,61,87,1.12
88,Antofagasta,CL,1571857327,-23.65,-70.4,62.6,20,63,13.87
89,Castro,CL,1571857327,-42.48,-73.76,60.8,29,59,6.93
90,Genhe,CN,1571857328,50.78,121.52,18.34,56,97,1.9
91,Omboue,GA,1571857329,-1.57,9.26,76.12,93,94,2.71
92,Broken Hill,AU,1571857329,-31.97,141.45,69.8,0,18,10.29
93,Namibe,AO,1571857330,-15.19,12.15,69.76,1,82,7.56
94,Bukama,CD,1571857330,-9.2,25.85,77.92,86,68,2.75
95,Dong Hoi,VN,1571857331,17.48,106.6,74.8,25,90,3.15
96,Ahipara,NZ,1571857331,-35.17,173.16,51.01,64,97,18.72
97,Mindelo,PT,1571857332,41.31,-8.72,62.01,20,82,8.05
98,Hun,BE,1571857333,50.34,4.87,60.01,44,87,3.36
99,Gamba,CN,1571857334,28.28,88.52,28.27,100,94,4.74
100,Hualmay,PE,1571857334,-11.1,-77.61,73.8,3,52,11.07
101,Vavatenina,MG,1571857335,-17.47,49.2,68.77,47,99,1.92
102,Mataura,NZ,1571857335,-46.19,168.86,46.99,71,75,15.99
103,Dikson,RU,1571857336,73.51,80.55,17.38,99,93,16.02
104,Timbiqui,CO,1571857370,2.77,-77.67,82.78,53,71,7.38
105,Kapaa,US,1571857371,22.08,-159.32,80.6,40,74,12.75
106,Tiznit,MA,1571857371,29.7,-9.73,57.34,0,54,6.38
107,Koslan,RU,1571857372,63.46,48.9,31.71,93,83,9.04
108,Busselton,AU,1571857373,-33.64,115.35,51.01,42,64,15.99
109,Moussoro,TD,1571857373,13.64,16.49,94.93,96,18,8.97
110,Desert Hot Springs,US,1571857374,33.96,-116.5,93.0,1,13,4.21
111,Kenmore,US,1571857374,47.76,-122.24,54.0,40,81,8.05
112,Upernavik,GL,1571857375,72.79,-56.15,24.76,99,57,6.78
113,Vila Velha,BR,1571857199,-3.71,-38.6,86.0,20,58,11.41
114,Cidreira,BR,1571857375,-30.17,-50.22,66.31,9,68,10.02
115,Souillac,FR,1571857376,45.6,-0.6,60.01,100,87,3.36
116,Bredasdorp,ZA,1571857377,-34.53,20.04,59.0,100,54,8.05
117,Poyarkovo,RU,1571857377,49.62,128.65,36.21,100,78,7.67
118,Nanga Eboko,CM,1571857378,4.68,12.37,70.41,77,92,3.33
119,Longyearbyen,NO,1571857378,78.22,15.63,21.2,40,57,9.17
120,Gravdal,NO,1571857379,59.79,5.78,52.0,75,87,17.22
121,Cabo San Lucas,MX,1571857304,22.89,-109.91,88.0,5,58,5.82
122,Cabinda,AO,1571857380,-5.56,12.19,79.14,100,84,12.3
123,Autazes,BR,1571857380,-3.58,-59.13,96.6,68,36,4.59
124,Grevesmuhlen,DE,1571857381,53.87,11.18,54.0,77,87,3.36
125,Qaanaaq,GL,1571857382,77.48,-69.36,20.03,100,81,16.96
126,Bathsheba,BB,1571857382,13.22,-59.52,87.8,40,62,12.75
127,Joao Pinheiro,BR,1571857276,-17.74,-46.17,89.73,67,39,1.36
128,Saldanha,PT,1571857384,41.42,-6.55,50.09,100,88,6.38
129,Cockburn Town,TC,1571857307,21.46,-71.14,86.0,40,58,9.17
130,Tromso,NO,1571857386,69.65,18.96,37.0,75,98,11.41
131,Geraldton,CA,1571857329,49.72,-86.95,37.4,90,94,8.05
132,Maragogi,BR,1571857387,-9.01,-35.22,78.73,66,73,11.56
133,Oranjemund,ZA,1571857387,-28.55,16.43,57.78,86,70,14.29
134,Tecoanapa,MX,1571857388,16.99,-99.26,86.0,40,74,8.05
135,Hithadhoo,MV,1571857383,-0.6,73.08,81.93,99,76,15.7
136,Port Lincoln,AU,1571857389,-34.72,135.86,67.06,0,23,11.86
137,Salalah,OM,1571857389,17.01,54.1,82.4,4,51,4.7
138,Mosquera,CO,1571857390,4.71,-74.23,62.6,75,77,12.75
139,Malmyzh,RU,1571857391,56.52,50.68,47.48,98,86,12.5
140,Clyde River,CA,1571857391,70.47,-68.59,24.8,75,92,8.05
141,Lakheri,IN,1571857392,25.67,76.19,72.37,6,54,6.62
142,Ostra,AT,1571857393,48.44,15.48,60.01,69,100,2.24
143,Juneau,US,1571857394,58.3,-134.42,44.6,90,87,21.92
144,Mar del Plata,AR,1571857394,-46.43,-67.52,52.61,2,73,12.91
145,Santa Cruz,BR,1571857295,-6.22,-36.02,95.67,0,28,13.15
146,Brodokalmak,RU,1571857395,55.57,62.07,41.0,40,85,11.18
147,Hilo,US,1571857397,19.71,-155.08,82.4,90,65,3.36
148,Ponta do Sol,BR,1571857397,-20.63,-46.0,83.03,51,47,2.62
149,Dongsheng,CN,1571857398,29.72,112.52,59.36,53,79,4.56
150,Port Elizabeth,US,1571857398,39.31,-74.98,66.99,1,32,12.75
151,Vazhiny,RU,1571857399,60.96,34.04,40.19,93,91,5.48
152,Ribeira Grande,PT,1571857400,38.52,-28.7,69.8,40,83,5.82
153,Molchanovo,RU,1571857400,57.58,83.76,32.61,100,97,11.72
154,Mount Isa,AU,1571857401,-20.73,139.49,71.6,1,26,14.45
155,Horodnytsya,UA,1571857401,50.81,27.32,56.1,100,88,2.1
156,Davila,PH,1571857402,18.47,120.58,75.2,20,100,3.36
157,Rudnogorsk,RU,1571857403,57.27,103.75,23.79,100,93,6.42
158,Dondo,MZ,1571857435,-19.62,34.74,80.6,75,83,16.11
159,Tasiilaq,GL,1571857306,65.61,-37.64,26.6,75,73,10.89
160,Sistranda,NO,1571857404,63.73,8.83,50.0,75,93,8.05
161,Klaksvik,FO,1571857436,62.23,-6.59,42.8,100,87,18.34
162,Aljustrel,PT,1571857437,37.88,-8.16,60.8,40,59,17.22
163,Dingle,PH,1571857437,11.0,122.67,74.08,14,90,5.32
164,Inuvik,CA,1571857140,68.36,-133.71,21.2,90,85,8.05
165,Maniitsoq,GL,1571857438,65.42,-52.9,33.66,91,62,12.5
166,Nhulunbuy,AU,1571857439,-12.18,136.78,71.6,40,88,1.12
167,Pisco,PE,1571857439,-13.71,-76.2,71.6,54,30,9.17
168,Luderitz,NA,1571857440,-26.65,15.16,60.8,42,72,12.75
169,Payson,US,1571857440,40.04,-111.73,59.0,1,27,5.82
170,Lorengau,PG,1571857441,-2.02,147.27,84.11,49,73,9.13
171,Baruun-Urt,MN,1571857442,46.68,113.28,26.02,100,56,13.78
172,Saint George,GR,1571857443,39.45,22.34,62.6,0,54,3.27
173,Yaan,NG,1571857443,7.38,8.57,74.79,76,95,13.0
174,Tolmin,IT,1571857444,46.18,13.73,64.99,43,93,1.12
175,Fairbanks,US,1571857329,64.84,-147.72,36.0,75,59,3.36
176,Verkhnyaya Inta,RU,1571857444,65.99,60.32,24.57,100,96,5.26
177,Muzaffarpur,IN,1571857445,26.12,85.39,75.2,75,88,1.57
178,Nome,US,1571857446,30.04,-94.42,81.0,1,39,13.87
179,Vranov,CZ,1571857446,49.76,13.04,57.99,90,87,9.17
180,San Cristobal,HN,1571857447,14.68,-86.92,77.61,65,73,5.66
181,Tautira,PF,1571857448,-17.73,-149.15,82.4,20,69,8.05
182,Tomatlan,MX,1571857449,19.93,-105.25,88.39,49,53,3.49
183,Mahebourg,MU,1571857449,-20.41,57.7,75.2,40,83,5.82
184,Esperance,AU,1571857450,-33.86,121.89,51.8,40,100,11.41
185,Corinto,CO,1571857205,3.17,-76.26,82.4,40,58,4.7
186,Alyangula,AU,1571857451,-13.85,136.42,68.0,64,88,3.2
187,Marrakesh,MA,1571857361,31.63,-7.99,68.0,0,30,8.05
188,Alofi,NU,1571857332,-19.06,-169.92,75.2,99,94,5.82
189,Coihaique,CL,1571857454,-45.58,-72.07,66.2,94,27,9.17
190,Deputatskiy,RU,1571857454,69.3,139.9,0.72,22,88,2.44
191,Koforidua,GH,1571857455,6.11,-0.27,80.6,20,88,14.99
192,Nargana,PA,1571857456,9.44,-78.59,81.93,15,72,7.31
193,Grand-Santi,GF,1571857456,4.27,-54.38,93.27,83,39,0.74
194,Ilhabela,BR,1571857457,-23.78,-45.36,72.77,16,80,18.72
195,Medicine Hat,CA,1571857457,50.04,-110.68,39.0,90,74,18.34
196,Mountain Home,US,1571857458,43.13,-115.69,55.4,1,35,20.8
197,Surt,LY,1571857458,31.21,16.59,71.19,0,62,10.16
198,Saskylakh,RU,1571857459,71.97,114.09,4.23,70,88,14.09
199,Arraial do Cabo,BR,1571857459,-22.97,-42.02,75.2,75,69,12.75
200,Isangel,VU,1571857460,-19.55,169.27,64.4,75,100,19.66
201,Alice Springs,AU,1571857460,-23.7,133.88,75.2,25,36,4.7
202,Yumen,CN,1571857461,40.29,97.04,28.35,0,31,10.69
203,Bagdarin,RU,1571857461,54.44,113.59,4.69,0,86,4.38
204,Iqaluit,CA,1571857462,63.75,-68.52,33.8,90,80,21.92
205,Bilma,NE,1571857463,18.69,12.92,83.26,21,8,12.1
206,Rio Gallegos,AR,1571857463,-51.62,-69.22,66.2,90,56,19.46
207,Dudinka,RU,1571857464,69.41,86.18,24.8,75,85,22.37
208,Alakurtti,RU,1571857464,66.96,30.34,28.99,99,94,3.0
209,Guerrero Negro,MX,1571857465,27.97,-114.04,86.67,0,13,3.22
210,Petropavlovsk-Kamchatskiy,RU,1571857465,53.05,158.65,30.2,58,86,8.95
211,Bogdanovich,RU,1571857466,56.77,62.05,40.28,100,84,15.3
212,Kirakira,SB,1571857466,-10.46,161.92,76.39,59,87,10.07
213,Yabrud,SY,1571857467,33.97,36.66,64.4,40,63,16.11
214,Vestmannaeyjar,IS,1571857467,63.44,-20.27,26.6,0,53,34.45
215,Elko,US,1571857465,40.83,-115.76,55.4,1,30,9.17
216,Itoman,JP,1571857501,26.12,127.67,77.0,20,69,17.22
217,Ballinrobe,IE,1571857501,53.62,-9.22,57.0,75,100,8.05
218,Nakhon Phanom,LA,1571857502,17.4,104.79,73.76,44,80,1.79
219,Leo,BF,1571857502,11.1,-2.1,84.04,98,61,6.98
220,Podgornoye,RU,1571857503,57.79,82.64,34.5,99,96,7.67
221,Xique-Xique,BR,1571857504,-10.82,-42.73,90.36,32,38,4.76
222,Isfana,KG,1571857504,39.84,69.53,48.2,57,66,2.24
223,Port Blair,IN,1571857505,11.67,92.75,82.89,48,79,7.61
224,Mackenzie,CA,1571857505,55.34,-123.09,32.0,1,91,4.7
225,Hermanus,ZA,1571857506,-34.42,19.24,57.99,72,81,1.01
226,Bambous Virieux,MU,1571857506,-20.34,57.76,75.2,40,83,5.82
227,Haines Junction,CA,1571857507,60.75,-137.51,25.11,100,95,9.13
228,Saint-Francois,FR,1571857507,46.42,3.91,57.2,100,93,5.82
229,Lipany,SK,1571857508,49.15,20.96,59.0,7,76,2.24
230,Aklavik,CA,1571857509,68.22,-135.01,21.2,90,92,5.82
231,San Vicente,EC,1571857509,-0.59,-80.41,77.0,90,78,12.75
232,Santa Rosa,AR,1571857510,-36.62,-64.29,74.91,0,16,10.58
233,Kailua,US,1571857512,21.39,-157.74,84.0,75,74,9.17
234,George Town,MY,1571857512,5.42,100.33,77.0,75,100,2.24
235,Agadez,NE,1571857513,16.97,7.99,91.4,15,16,16.11
236,Talcahuano,CL,1571857514,-36.72,-73.12,62.6,0,63,10.29
237,Teseney,ER,1571857514,15.11,36.66,85.98,96,49,11.16
238,Birin,NP,1571857515,26.89,88.07,52.65,91,93,3.18
239,Tokur,RU,1571857515,53.13,132.9,28.27,99,78,2.39
240,Ewo,CG,1571857516,-0.88,14.81,73.8,100,89,4.7
241,Kavaratti,IN,1571857516,10.57,72.64,83.35,99,77,24.54
242,Villefontaine,FR,1571857517,45.61,5.16,60.01,90,93,4.7
243,Alamosa,US,1571857406,37.47,-105.87,54.0,1,31,9.17
244,Hambantota,LK,1571857389,6.12,81.12,82.26,100,78,14.41
245,Fortuna,US,1571857518,40.6,-124.16,63.0,20,100,3.36
246,Kununurra,AU,1571857519,-15.77,128.74,77.0,8,88,8.05
247,Roswell,US,1571857521,33.39,-104.52,78.01,1,17,4.7
248,Chokurdakh,RU,1571857521,70.62,147.9,-1.47,85,97,8.1
249,Palmer,AU,1571857332,-34.85,139.16,75.0,0,42,8.05
250,Lata,IN,1571857522,30.78,78.62,23.77,0,58,1.41
251,Faya,SA,1571857523,18.39,42.45,66.2,0,88,5.82
252,Lumsden,CA,1571857523,50.65,-104.86,43.0,75,48,6.93
253,Virginia Beach,US,1571857524,36.85,-75.98,72.0,20,42,3.36
254,Zapadnaya Dvina,RU,1571857524,56.26,32.09,47.53,96,90,3.87
255,Palu,ID,1571857525,-0.9,119.87,66.07,14,97,2.44
256,Shumskiy,RU,1571857525,54.83,99.13,26.31,47,59,3.33
257,Tigre,AR,1571857526,-34.42,-58.58,73.4,0,35,16.11
258,Clermont,FR,1571857526,49.38,2.41,57.2,92,93,3.36
259,Gwanda,ZW,1571857527,-20.94,29.0,85.37,74,27,5.93
260,Constantine,DZ,1571857446,36.36,6.61,59.0,20,77,13.87
261,Mandali,IQ,1571857528,33.75,45.55,82.42,70,25,8.68
262,Kruisfontein,ZA,1571857529,-34.0,24.73,56.8,72,80,14.09
263,Mehamn,NO,1571857530,71.03,27.85,33.8,75,92,2.24
264,Noumea,NC,1571857530,-22.28,166.46,73.0,100,82,2.24
265,Ostrovnoy,RU,1571857531,68.05,39.51,25.97,100,88,7.96
266,Jacareacanga,BR,1571857531,-6.22,-57.76,96.89,82,35,2.73
267,Beidao,CN,1571857532,34.57,105.89,42.96,100,83,11.03
268,Chara,GR,1571857532,39.42,22.43,62.6,0,54,3.27
269,Presidencia Roque Saenz Pena,AR,1571857533,-26.79,-60.44,81.91,0,33,7.07
270,Angoche,MZ,1571857566,-16.23,39.91,82.29,23,63,10.67
271,Lavrentiya,RU,1571857567,65.58,-170.99,28.62,99,80,18.54
272,Inhambane,MZ,1571857567,-23.87,35.38,78.8,40,88,13.87
273,Severo-Kurilsk,RU,1571857568,50.68,156.12,38.52,92,88,3.33
274,Viedma,AR,1571857568,-40.81,-62.99,57.79,68,64,16.35
275,Lensk,RU,1571857569,60.71,114.91,14.99,81,93,2.37
276,Nouadhibou,MR,1571857570,20.93,-17.03,73.4,0,53,18.34
277,Cheyenne,US,1571857570,41.14,-104.82,48.0,1,55,19.46
278,Boa Vista,BR,1571857571,2.82,-60.67,89.6,75,49,6.93
279,Plettenberg Bay,ZA,1571857506,-34.05,23.37,59.61,78,80,6.76
280,Segou,SN,1571857572,12.41,-12.29,82.4,75,74,6.93
